;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
bpoe 牓 篰 箁
bpoo 箔 籓
bpu 笔
bpua 笣
bpui 篦 箯 箄 籩
bpuu 版
bq 暴
bqa 昪
bqai 曓
bqe 狴
bqei 晡 昁 氞 昞 昺 犻 猼 畢
bqeu 猋
bqi 狈
bqia 曝 狽
bqii 獛
bqo 獘
bqoa 猵
bqoo 獱
bqou 獙
bqu 昄
bqui 猈
br 便
bra 偋
brau 佊
bre 佰
bree 俵
brei 僃 偪 侼 僰 体 備
breo 伻
breu 倴 佈 伓
bri 保
bria 儤
brie 偝
briu 偹
bro 伴
broa 佖
broe 倍 傍 儦 傡
broo 傧 仒 儐
brou 併
bru 伯
brua 佨 俻
brue 倂
brui 俾
bruo 仈 仌
bs 北
bsa 贝
bsae 擘 畁 貝
bsai 岜 豝
bsao 峅
bsau 岥
bse 拜
bsee 碧
bsei 博 礴 饽 砵 馎 礡 峬 餔 磦 餑 餺
bseu 弁 畚 豳 鼥 硥 奙 豩
bsi 泵
bsia 矲 兡 峀 饆
bso 卜
bsoa 孛 碥 飶
bsoe 磅 碚 嵭 餢
bsoi 氷
bsoo 屄 碆
bsou 饼 屏 餅
bsu 饱
bsua 崩 砲 飽
bsue 餠 屛
bsui 卑 碑
bsuo 掰 砭 嶓 峇
bsuu 岅
bt 壁
bta 墢
bte 畀
btee 垹 埲
btei 埔 堛 墂
bteo 壩
bteu 坺
bti 坝
btia 垻 塴
btie 埗
bto 塝
btou 垪 坢 報
btu 堡
btua 垉
btui 埠 堢 埤
btuo 坌 坋
btuu 坂
bu 白
bua 膊
buae 膘
buao 惫
bue 钵
bui 傍
buu 舶
bv 表
bva 臂
bvae 鄪
bvai 鲃
bvao 鱍
bvau 陂
bve 霸
bvea 陛
bvee 邦 脿
bvei 脖 膊 膘 邴 鳔 鲾 腷 霦 陃 郣 魳 鰏 鰾
bveu 鲅 胈 邫 鮁
bvi 背
bvia 鄙 靐
bvie 邶 虣 鄁
bvo 膀
bvoa 鳊 邲 鮅 鯿
bvoe 臕
bvoo 膑 靌 臏
bvou 鳖 鮩 鱉
bvu 胞
bvua 鲍 雹 肑 胮 鮑
bvui 聛 鯾 胉 鲌 鮊
bvuo 魞 朌 邠 肦
bvuu 阪 魬
bw 变
bwa 玻
bwae 璧
bwe 斌
bwee 玤 琫 琶 韝
bwei 甏 韛
bweu 瓸
bwi 备
bwia 禀 惫 亳 贁 珼 韠 稟
bwie 琲
bwio 卞
bwo 班
bwoa 斒 珌 甂
bwoe 斑 瓿 琣 変 變
bwoo 瑸 璸
bwou 敝 旁
bwu 褒
bwua 襃 袌 裦
bwue 珤
bwuo 玐 攽 玢
bwuu 瓪
bx 必
bxa 辟
bxaa 辫 辮
bxae 繴
bxau 辧 辦
bxe 窉
bxei 覇 愂
bxi 悲
bxia 覍
bxo 辩
bxoe 辬 辡 辯
bxou 辨 憋
bxu 瓣
bxua 窇
bxue 秉
bxui 憊
bxuo 窆
by 颁
bya 襞
byai 羓
byau 诐 詖
bye 甭
byee 諘
byei 醭 誖 謤 誧
byeu 犮 詙
byi 謈
byo 谤
byoe 謗
byoo 顮
byou 誁
byu 譒
byue 叐
byui 諀
byuo 頒
byuu 褩
bz 般
bza 跛
bzae 躃 躄 孹
bzai 跁
bzao 蹳 罷 羆
bze 罢
bzea 跸 舭
bzei 罴
bzeu 跋
bzi 巴
bzia 蹦 罼 蹕
bzie 踄 爿
bzo 蹩
bzoa 艑
bzoe 踣 艕
bzou 跰
bzu 豹
bzua 孢 趵
bzui 舶 貏 艊
bzuu 舨
c 出
ca 除
caa 纯
cae 弛
cai 丑
cao 翠
cau 婵
cb 曾
cba 瘳
cbai 芻
cbao 贂
cbe 财
cbea 兹 痓
cbee 瘛 剏 剙 賰 瘈
cbei 瘄 財
cbi 赐
cbia 冁 单 賗 皠 痋 賜
cbie 疵 皉
cbo 瘁
cboa 賝
cboe 瘯
cboo 賨 賩
cbou 瘥 疢
cbu 匆
cbua 貾 皗 疩 癡
cbue 痴 痸 痄
cbuo 疮 痤 賶 瘡
cc 草
cca 辍
ccaa 莼 轈 齓 蒓 茲
ccae 蚇 徲
ccai 蚩 蔯 螴 蒢 艸
ccao 蛏 芆 齝 輟
cce 藏
ccea 彻 虿 荎 蠶
ccee 蠢 蚕 辏 蝽 蝅 蠺 萶 輳
ccei 厨 厝 螬 蓸 蓛 茝 莗 蛼 茞 菗 薵 齼 齱 茦 莿 蛓 藂 蜡 蠆 萇 蟶 蓴
cceu 茬 蒇 頳 荿 蟵 藸 蕆
cci 唇
ccia 厕 龊 徂 菖 荝 厠 萴 徎 輲 莡 茧 徥 辴 蟬 蟲 齪
ccie 茈 薒 兏 軙 赪 蔖 赬
ccio 徜 蟐 厰
cco 蝉
ccoe 茨 萃 螭 蔟 茺 薼 徸 薋 藽 蟺 辙 徹 轍
ccoo 萗 莐 徖 蓡
ccou 螆 従 蒫 齹
ccu 茶
ccua 蔡 葱 蟾 龀 蚳 齣 蒭 荈 茐 彽 莥 蚔 齔
ccue 苌 蝩 菙 蚝 衝
ccui 茌 蟌 葠 蔥
ccuo 菜 苍 蜍 苁 螥 莝 蒼 從
ccuu 齭 輴 蓯
cd 沉
cda 池
cdaa 漅
cdae 潺 刍
cdai 滁 洆 泏
cdao 澄 汊 涌 涰 濢 湧
cde 残
cdea 殘
cdee 凑 湷 湊
cdei 潮 漕 豉 濸 潹 奲 泟 浾 淔 湁 濋 溨
cdeu 湹 漺 浱 滣 漘 殩
cdi 冲
cdia 测 涔 殂 毚 灛 淐 澂 沖 潀 凗 漼 斣 浧 測
cdie 澯 泚 浈 湞
cdii 灇
cdo 淳
cdoa 沈
cdoe 澈 淬 澶 瀍 浐 滀 湻 麁 殧 滻
cdoo 淙 浺 刅
cdou 濨 澊
cdu 沧
cdua 瀺 泜 汦
cdui 殠 汌 漗 潨 夼 溴
cduo 飡 湌 凔 滄
cduu 瀓 漎
ce 成
cee 蚕
cei 苍
ceia 翅
ceie 摧
ceii 葱
ceiu 槽
ceu 蹙
ceua 盛
ceui 磋
cf 持
cfa 掺
cfaa 摷
cfao 撡 扠 摻
cfe 措
cfee 摏 攅
cfei 搽 拺 掁 搷
cfeo 摴
cfeu 撦 拵
cfi 抽
cfia 操 摧 揣 撮 抻 挰 拀 擉 捵
cfie 扯
cfio 撑 罉 撐
cfiu 抄
cfo 擦
cfoe 撤 搐 摌 揨 摛 攡 撞
cfoo 撺 攛
cfou 搓
cfu 插
cfua 搀 拸 搊 攙
cfue 捶 攒 挿 抶 揰 攢
cfui 搥
cfuo 挫 採 抢 搶
cfuu 拆 搋 摐
cg 察
cga 戳
cgai 弛
cgao 靫
cgau 弨
cge 床
cgei 庱 魗 庴 廚
cgeu 宠 宸 宬
cgi 廛
cgia 廁
cgie 骴 庛
cgio 廠
cgo 魑
cgoe 寴 寵
cgoo 魙
cgou 髊
cgu 戗
cgua 韂
cguo 寀 戧
ch 才
cha 车
chai 丞 黜 屯
chao 黪 穇 黲
chau 丒
che 秤
chei 爡 烥 煁 燽
cheu 煘 穪
chi 程
chia 灿 炽 种 燀 爞 朿 熶 虘 焻 車
chie 赤 爘 焯 燦 長
chii 爜
chio 寸
chiu 炒
cho 焠
choe 焞 熾
choo 烢
chu 称
chua 册 炊 稠 煼 豖 處
chue 辰 秅 穳 種
chui 爨 熜
chuo 丛 黐 焧 稱
chuu 厂
ci 此
cia 喘
ciae 串
ciai 岑
cie 雌
ciei 龊
cieu 粲
cj 常
cja 钗
cjae 鐉
cjai 绌 絀
cjao 紁 鋑 釵
cje 错
cjea 纯 純
cjee 舂 帱 觢
cjei 镡 鑶 鏪 鋹 綝 繱 鍖 斮 幬 錯 鐔
cjeu 铖 緾 纒 絾 鋮 銐 縬
cji 触
cjia 锄 銟 幝 繟 锠 紬 鉏 斶 鏙 鍉 幧 錩 鋤 觸
cjie 绰 觇 緽 鑡 紪 覘 綽
cjio 铛 鋿 鏛 鏿 鐺
cjiu 钞 觘 鈔
cjo 缠
cjoa 鈂
cjoe 铲 铳 幢 繵 幮 錞 絘 缞 綷 镞 纏 鏟 銃 縗 鏃
cjoo 斥 镲 镩 錝 鑔 鑹
cjou 鎈 鏳 絒 縒
cju 绸
cjua 纔 縩 幨 镵 鑱 鉹 緫 紣 綢
cjue 锤 锸 臿 鋓 鉓 緟 缍 鍤 錘 綞
cjui 钏 鋋 鎚 釧
cjuo 锉 綵 絺 鍐 銼
cjuu 鏦
ck 吃
cka 啜
ckae 呎 吷
ckai 吜
cke 呈
ckea 噆 啛
ckee 喫 嚽
ckei 嘲 嗔 哧 嘈 喳 嗏 囆 唓 吋 嚋
cki 唱
ckia 臣 喘 串 嗤 嘬 丳 圌 嗺 囅 單 嘽
ckie 呲 喍 呫
ckii 冊
ckio 嚐
ckiu 吵
cko 啐
ckoe 啻 囃 嚫 嘃 噇 噈
ckoo 嚓
ckou 噌 啴
cku 吹
ckua 叱 嚵 哆
ckuo 鬯 喰 叺
cl 产
cla 迟
claa 剿 剶 勦
clae 遅 迡 遲
clao 惨 遪 憕 耛 惙 慘
clau 怊
cle 刺
clea 惭 憯 剗
clee 刬 恜
clei 忖 怵 憷 愺 懴 愖 勅 遫 懤 慒 刌 遳 剒 逪 慚 悵 塵
cleo 刾
cleu 勑 麎 剢
cli 逞
clia 恻 忡 遄 懆 辿 迧 悜 耡 慛 惻
clie 迠 逴
clio 惝 憆 戃
cliu 耖
clo 悴
cloa 忱
cloe 憧 剷 麤 憱
cloo 悰
clou 鹾 竲 竴 鹺
clu 创
clua 惆 劖 憏 竌 竐 忰 忯 恀
clue 怅 忏 憡 劗
clui 遚 憁
cluo 刹 怆 剎 麄 剉 懺 創 愴
cluu 勶
cm 查
cma 闯
cmaa 椽 樔
cmae 骣 榋 柌 梫 驏
cmai 驰 樄 橻 杻 馳
cmao 橙 杈 骖 柽 眙 驂
cmau 眧
cme 村
cmea 杶
cmee 椿 楱 睶 櫕 栻
cmei 材 槽 楮 楂 欌 騲 閳 棽 瞋 椘 檚 樷 籿 盯 櫒 梀 粻 檉 棖 闖
cmeo 樗
cmeu 橱 盛 櫉 槭
cmi 粗
cmia 骋 阊 梣 査 椙 檙 睈 槯 喿 柷 闡 閶 騁
cmie 柴 粲
cmii 欉
cmio 瞠 氅 橕
cmiu 麨 粆
cmo 粹
cmoa 棎
cmoe 榇 榱 瞮 瞝 麶 栨 橦 粢 櫬 櫥
cmoo 檫
cmou 阐 槎 糍 驓 栦
cmu 瞅
cmua 眵 粣 欃 棦 椆 楤 騘 粋 栘
cmue 糙 杵 棰 枨 毳 騬 粚 杽 矁 櫄 欑 橇
cmui 槌 骢 椎 梴 桘 樬 驄
cmuo 睬 枞 釆 棌 閦 棇 睉
cmuu 瞛 毝 樅
cn 初
cna 祠
cnai 媸 妛
cnao 衩
cne 衬
cnea 鵄
cnee 媋
cnei 褚 褿 歭 鶒 鷘 嬦 禇 娕 婼
cneu 娍 袸 娠 裖
cni 娼
cnia 裎 嬠 襙 裮 鷐 娖 襊 襌 祌 嬋 禪
cnie 裭 鴜 婥 袩
cnio 嫦
cno 禅
cnoe 鹑 襯 鶉
cnoo 姹 婃 嬱
cnou 婵 鹚 裧 歯 嬨 鷀 媨 鶿
cnu 鸱
cnua 襜 裯 犓 鶵 觕 禂 姼 婤 媰 鴟
cnue 奼 褈 娷
cnui 犨 犫 嬓
cnuo 婇 鸧 鶬
cnuu 褫 鶞 禠
co 次
coa 诚
coe 痴
coi 阐
coo 忡
cooa 宸
cooe 涔
cooi 忏
cou 炽
couu 炊
cp 长
cpa 笞
cpai 竾 篨
cpao 皴 篸
cpe 策
cpee 筹 乗 箺
cpei 乘 箣 彨 彲 籌
cpeu 筴 筬
cpi 篡
cpia 囱 篅 篹 簒 囪
cpie 辵 箎
cpii 川
cpo 簇
cpoe 簅
cpoo 筞 筂 箈
cpu 彩
