;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
dkua 哆 哚 啗 唙 呧 吺
dkui 啲
dkuo 嗲
dkuu 嘚
dl 到
dla 逮
dlai 憜
dlao 迨 竳 剟 邆
dlau 忉 刟 刴
dle 动
dlea 恎
dlee 焘
dlei 懂 逗 逹 惵 忊 逇 達 燾
dleu 达 惰 迏 迖 遰 忕
dli 端
dlia 迪 恫 怛 逿 廸 迵 愓 剬 憚 遝
dlie 悼 竨
dlo 递
dloe 惦 龖 龘 勯 惇 憞 剫
dlou 惮
dlu 遁
dlua 剁 刐 憺 怟 遯
dlue 迭 怢 動
dluu 逓 遞
dm 毒
dma 瞪
dmae 鼎 棣
dmai 柮
dmao 骀 櫈 毲 駘
dmau 朶 桗
dme 杜
dmea 栋 盹 椡 眰
dmei 盯 睹 椟 橽 蘯 梊 槙 驔 梪 闘 阇 騳 楪 棟 闍 櫝
dmeu 驮 杕 枤 駄 馱
dmi 督
dmia 柦 椣 氎 駧 螙 椯
dmio 档 欓 闣 檔
dmo 盗
dmoa 眈 馾
dmoe 瞊 橔 驐 楴 樀
dmoo 柁 盪 椗 枓 閗 盜
dmou 睇 檤 橂
dmu 盾
dmua 柢 梑 馰 槇 騆
dmue 眣 柂 柣
dmui 椴 柋 駳 槝 瞗 橷
dmuo 籴
dmuu 楯
dn 妒
dna 裰
dnaa 鶨
dnao 嬁 鸐 鵽 嬥
dne 祷
dnea 鸫
dnei 犊 褡 襶 媅 禫 褋 奵 娻 鶫 嬞 嬻 襩 禱 鶇 犢
dneu 妬 媠
dni 妲
dnia 襌 鴠 婰 媏 褍 襡 褟 鷤 襗
dnio 裆 襠
dno 嫡
dnoa 妉 衴
dnoe 媂 禘 犒
dnoo 褝 婝 袉
dnou 娣 祶
dnu 袛
dnua 裯 禂 牴 鵰 祋 祗
dnue 犜 娗
dnui 鴏 鴭
do 道
doa 订
doae 谍
doe 瘩
doo 渎
dooa 宕
dooe 滇
dooi 惰
dou 兑
doue 奠
dp 等
dpa 第
dpaa 笃 籪
dpae 氐
dpao 簦 鸟 贕
dpe 牒
dpea 箌
dpei 牍 簟 皾 箉 牘 篤
dpeu 篴
dpi 笛
dpia 笪 篅 簤 簞 鳥
dpio 筜 簹
dpo 箪
dpoo 簜
dpou 簖
dpu 答
dpua 彫 簓 笗
dpue 箽
dpui 篼
dq 电
dqa 曃
dqao 敠
dqe 旦
dqei 氭 狫 暏
dqi 独
dqia 獃 狚 曡 暺 獨
dqie 敁
dqo 狄
dqoe 獤
dqoo 靛 曢
dqou 氮
dqu 氡
dqua 旳 昸
dque 昳
dqui 氘
dr 但
dra 伄
drao 僜
dre 倒
drea 代 仾 伅
dree 傣
drei 仃 侢 傎 倲 侸 儥
dreu 僀
dri 佃
dria 侗 僤 偳
drio 儅
dro 偙
drou 俤 糴
dru 低
drua 儋
drue 働
ds 段
dsa 殿
dsae 饏
dsai 饳 嶞 氹 飿
dsao 磴 嶝
dsau 砀 屶 鼦 躱
dse 短
dsea 岽 砘 峌
dsee 碡
dsei 碟 巅 嶹 軇 坔 磹 嵿 饤 矴 崬 饾 巔 飣 崠 餖
dseo 嶀
dseu 嶳 嵽 耑 嵟 崸
dsi 峒
dsia 碘 硐 沓 屌 磾 埊 峝 軃 碮 碭
dsii 矵
dsio 礑
dso 碇
dsoa 躭 沊
dsoe 礅 碲 豴 碠 撉 嵣
dsou 餤 磸 舕
dsu 岛
dsua 躲 砥 碉 砃 巓 毈 豛
dsue 丢 崜 矺
dsui 岱 碓 嶋 嶌 碫 磓 嵨 島
dsuu 碷
dt 地
dta 堕
dtae 埭 壂
dtai 墬 墮
dtao 墱
dtau 垜
dte 堵
dtea 垤 坘 坉
dtei 垫 町 堞 塔 壔 耊 甼 埬 墶 墊
dteu 垯 墆
dti 堤
dtia 垌 疉 鼕 疊
dtie 坫 圵
dtio 垱 當 壋
dto 墩
dtoa 畳 蠧
dtoe 墑 疂 墥 墪
dtoo 埞 墯
dtu 堆
dtua 垛 坻 留
dtue 埵
dtui 塅 垖 塠
dtuo 畣 墖
dtuu 耋
du 得
dua 甸
duae 胴
due 钉
duee 锻
dui 代
duo 貂
duu 舵
dv 都
dva 霯
dvaa 腞
dvao 腏 叇 隥 鮙 鄧
dvau 鱽 鮉 魛
dve 肚
dvea 胨
dvee 霴 陦 靆
dvei 陡 鲽 耵 隯 翿 鯟 脰 聑 陼 鰈 腖
dveo 脦
dveu 雼 陏 隓
dvi 党
dvia 胆 胴 聃 耼 隄 鄲 電
dvie 阽
dvo 耽
dvoe 鯳 腣
dvoo 腚 霮 聜 聢 霘 阧
dvou 郸 黱 腅 鮵 隊
dvu 队
dvua 邸 鲷 聸 翢 魡 阺 鮗 陊 膽 鯛
dvue 胅
dvui 兜 翟 鮘 隝 聣 兠 腶 陮
dvuo 雿 腍
dw 敌
dwa 璒
dwao 敪 丟
dwe 玎
dwee 瑇
dwei 瓙 瓄 韥 琽 対
dwi 玷
dwia 亶 敟 韣 亸 琠 斁 嚲
dwio 珰 瓽 璫
dwo 帝
dwoa 瓭
dwoe 敦 甋 敨 敵
dwoo 冬 琔
dwou 啇 敚 珶
dwu 玳
dwua 玬 甔 玓 琱
dwui 瑖
dwuo 敓 敜
dx 多
dxa 怠
dxao 怼
dxe 窦
dxee 纛
dxei 惪 竇
dxeu 悳 慸
dxi 単
dxii 懟
dxo 憝
dxoe 恴
dxu 窎
dxua 窞 夛
dxui 窵
dy 调
dya 邓
dyao 叠
dyau 尮
dye 顶
dyea 顿 頓
dyei 读 订 颠 谍 酊 褺 諌 醏 読 讟 酨 顛 諜 頂 訂 讀
dyi 蛋
dyia 詚 疍 頔
dyie 頕 裻
dyii 譵
dyio 谠 譡 讜
dyo 谛
dyoa 酖
dyoe 譈 諦
dyoo 顁 詑
dyou 醈
dyu 袋
dyua 诋 羝 顚 訋 酘 詆 調
dyue 詄
dyui 诞 頧 謉 誕
dyuo 誂
dz 刀
dza 蹬
dzaa 躖
dzai 貀
dzao 艠
dzau 貂 舠 跥
dze 刁
dzea 趸 跮
dzei 蹀 蹎 牃 艓 厾 跿 躂 躉
dzeu 跶 艜 蹛
dzi 眔
dzia 踶 趧
dzie 踧 跕
dzio 艡
dzo 蹲
dzoe 踱 踮 艔 蹾 蹢
dzoo 舵 趤
dzu 跌
dzua 雕 跺 赿 趆 趓 跢
dzue 趃 镻
dzuo 蹈
dzuu 踲
f 发
fa 飞
faa 驸
fai 附
fb 费
fba 疿
fbae 髴 費
fbao 癈
fbe 赋
fbee 賦
fbei 匐 赙 痡 賻
fbeu 髪 髮
fbi 痱
fbia 朆 赗 賵
fbo 髣
fbu 疯
fbua 瘋
fbuo 疺 釡
fbuu 贩 癁 販
fc 范
fca 彿
fcaa 蒶 蘕
fcae 茀
fcao 輽 蕟
fce 封
fcee 芙 蚨 蘴
fcei 辅 蝠 辐 芾 葑 蠜 蟦 蕡 轒 尃 荴 葍 蜅 莆 蓲 輻 輔
fceu 荂 芣
fci 菲
fcia 藅
fcie 蜚 蕜 厞
fco 芳
fcoe 蚄 彷
fcoo 藩
fcou 薠
fcu 芬
fcua 蜂 菔 軓 蜰 萉 萯 蝜
fcue 蝮 蘩 復 輹
fcui 苻 茯 茷 蚹 蛗 軵
fcuo 蕃 蜉 莩 轓 蚠 蚡 蚥 葐
fcuu 蕧
fd 法
fda 冯
fdaa 氾
fdae 沸 發
fde 樊
fdee 沣 発 豐 灃
fdei 滼 淓 湗 濆 馮
fdeu 沷 冹 汱
fdi 负
fdia 奋 溄 豊 負
fdie 渄 奜
fdii 黺
fdo 涪
fdoe 灋 汸 殕
fdou 瀵
fdu 泛
fdua 淝 汎 沨 浲 漨 渢
fdue 瀿
fdui 泭 洑 奮
fduo 浮 汾 滏
fduu 澓
fe 夫
fea 辐
fee 奉
fei 抚
feu 奋
ff 放
ffa 拂
ffai 邡
ffao 払
ffe 扶
ffea 瓬 缻
ffee 抚 釜 颫
ffei 檒 飌 旉
ffo 缹
ffoe 捬
ffu 斧
ffua 捀 摓
ffue 旛 旊 撫
ffui 拊 鴋
ffuo 旙
fg 府
fga 废
fgao 廃 廢
fge 富
fgee 寷
fgei 冨
fgu 弗
fgui 腐 艴 弣
fh 房
fha 炥
fhe 烦
fhei 焚 稫 燌 燓 秿
fheu 煩
fhi 甫
fhia 馥 馡 馚 馩 焨 巿 鬴 膚
fhie 扉
fho 焤
fhoa 虙
fhu 烽
fhua 煈
fhue 稪
fhui 不
fhuo 燔 稃 炃 秎 烰
fi 非
fia 帆
fiae 蝠
fiai 幡
fie 翡
fj 凤
fja 绋
fjae 镄 鐨 鉘 紼
fje 幅
fjee 凨 鈇
fjei 缚 錺 幩 鐼 凬 綍 鍢 縛
fjeu 绂 凮 紑 帗 鳳 紱
fji 绯
fjia 鎽
fjie 緋
fjii 幞
fjiu 凣
fjo 凡
fjoe 纺 钫 鈁 紡
fjoo 鍅
fju 锋
fjua 缝 帆 凫 钒 鏠 綘 釩 鋒 縫
fjue 緮 鍑
fjui 鳯 紨 鳬 絥 鉜
fjuo 纷 幡 繙 鐇 帉 鈖 綒 紛
fjuu 凢
fk 否
fka 咈
fkaa 嚩
fkao 匥
fke 吠
fkee 呋 唪 呒
fki 啡
fkie 匪
fku 咐
fkue 嘸
fkuo 吩 噃 哹
fl 副
fla 怫
flae 刜
flai 鄜
flau 辺
fle 愤
flei 憤
fleu 竎
fli 悱
flia 剻
flie 剕
flu 返
flua 逢 忛
fluo 勫 憣 竕
fm 粉
fma 騛
fmae 柫
fmao 橃
fmau 麬
fme 梵
fmee 麸 盽 麷 枎 麩
fmei 粪 棼 榧 籵 棻 橨 黂 糐 麱 榑 盙
fmi 梤
fmia 畨 糞
fmie 靟 騑 棐
fmo 枋
fmoe 眆 櫠 瞓 椨
fmoo 盕
fmu 枫
fmua 颿 杋 桻 枹 棴 楓
fmue 椱
fmui 阀 驸 栰 梻 柎 栿 閥 駙
fmuo 桴 柉 棥 橎 枌 粰
fn 妇
fna 妃
fnaa 鶭
fnae 婦
fne 福
fnee 妦 鴌 衭 鳺
fnei 犎 鶝 禣 褔
fneu 祓 袚 鴀
fni 裶
fnie 婓 婔
fnii 襆
fno 妨
fnoe 牥
fnu 袱
fnua 奿 嬎 嬔 鵩 婏 媍 鳧
fnue 複
fnui 姇 祔 袝
fnuo 姂 嬏 襎 鷭 衯 妢 鳻 弅 娐 鴔
fo 方
foa 扉
foe 腐
foi 阀
foo 汾
fou 粪
fp 风
fpa 笰
fpao 笲
fpau 風
fpe 篚
fpee 缶
fpei 篈 簠 範
fpo 父
fpoa 乏
fpoo 籓 笵
fpou 飜
fpu 符
fpua 箙
fpui 筏 笩
fpuo 筟
fq 犯
fqa 狒
fqae 氟 昲 曊
fqe 獖
fqeu 暊
fqi 猆
fqie 暃
fqo 昉
fqoe 昘
fqu 氛
fqua 猦
fquo 昐
fr 份
fra 佛
frao 仏
fre 付
frea 伐
free 俸 佱 仹 伕
frei 傅 偾 俌 僨
freu 伏
fri 僼
fro 仿
froe 俯 傠 倣
fru 俘
frua 俷 偑 偩 俛
fruo 僠
fruu 仮
fs 饭
fsa 砩
fsae 岪
fse 砝
fsee 砆
fsei 饙 豮 鼖 崶 豧 礬 豶
fseu 軬 鼣 餴
fsi 餥
fsia 兝
fsie 屝
fsii 彂
fso 飰
fsoe 瀪
fsoo 濷
fsu 峰
fsua 矾 砜 峯 碸
fsui 阜 峊
fsuo 鼢 砏 躮 岎
fsuu 飯
ft 番
fta 坲
ftai 埅
fte 堏
ftee 畉
ftei 畐 堼 墳
fto 坟
ftoe 坊
ftu 畈
ftua 堸
ftui 垡 垈 甶 垘 坿
ftuo 墦 坋 垺
fu 分
fua 肪
fue 馥
fui 伏
fuo 釜
fv 服
fva 肥
fvae 胇 鮄
fvai 朏 胐
fve 丰
fvee 肤 酆 靅 靊 邞
fvei 肺 脯 鲼 隫 膹 雬 郙 鯆 鱝
fveu 奉 翇
fvi 霏
fvia 鄷 鄤
fvie 翡 腓 鲱 鯡
fvo 防
fvoe 腑 肪 鲂 魴
fvu 翻
fvua 胏
fvue 腹 鳆 鰒
fvui 附 鲋 胕 鮲 鮒
fvuo 郛 鱕 膰 翂 雰 魵
fvuu 魬
fw 复
fwe 敷
fwee 夆 玞
fwei 珐 璷
fweu 韨 韍
fwi 斐
fwia 畗
fwo 琺
fwu 玢
fwua 琒 玸
fwuo 璠 瓰 琈
fx 繁
fxa 覅
fxe 懯
fxu 覆
fxue 緐
fxui 怤 覄
fxuo 忿 覂
fy 反
fya 醗
fyao 醱
fyau 酦
fye 酜
fyei 羵 諨
fyi 诽
fyie 誹
fyio 讣 訃
fyo 访
fyoe 訪
fyou 黼 黻
fyu 讽
fyua 訉 甮 諷
fyui 詂
fyuo 酚 羳 訜 羒 頫 酻
fyuu 瞂
fz 罚
fza 孚
fzaa 乀
fze 趺
fzei 踾
fzeu 罘
fzi 赴
fzo 舫
fzoe 罸 趽 罰
fzu 孵
fzua 舤 艂
fzui 跗
fzuo 蹯 飝 罦 艀 飛
fzuu 舧
g 个
ga 给
gaa 纲
gae 弓
gao 癸
gb 关
gba 勾
gbe 共
gbee 購
gbei 卦 疳 疘 髸
gbeu 皋 馘
gbi 够
gbia 贵 痼 句 瘝 癏 瘑 齃 貴
gbo 赅
gboe 賌 匄 皐 賅 賡
gboo 痯
gbu 购
gbua 痀
gbue 疙 髺
gbui 匑 匔
gbuo 匃 匌 癐
gbuu 皈
gc 广
gca 菇
gcaa 轧 軋
gcae 茛
gcai 菰 蜬
gce 甘
gcee 芉 虷
gcei 蛄 轱 苷 鼜 轕 莄 輁 薣 黆 茥 蓕 葀 蛬 蓋 軲
gceu 葢
gci 葛
gcia 蛊 蝈 辊 蜾 菒 輵 蓇 雚 厬 蔮 菓 輠 蜗 蠱 輥 蟈 蝸
gcio 茪 輄
gco 莞
gcoa 蒄
gcoe 藁 荄 菮 蓘 蔉
gcoo 輨 菏
gcu 轨
gcua 苟 茖 蚼 蛫 芶 茍 軥 軌
gcue 虼
gcui 萖
gcuo 蚣 蛤 芥 蟡
gcuu 茩 軱 蛌 苽
gd 港
gda 溉
gdae 澉 淈 夬
gdao 湀
gde 灌
gdee 癸 溝
gdei 沽 泔 漧 冮 滒 滆 浭 濲 瀔 溎 渮
gdi 龟
gdia 汩 涡 凅 亀 濄 漍 淉 渱 滑 混 渦
gdio 洸
gdo 滚
gdoe 灨 滾
gdoo 涫
gdou 沩 浂 溈
gdu 沟
gdua 氿 泃
gdue 潅
gdui 漑 滜 夰
gduo 淦 汵 凎 涻
gduu 泒
ge 过
gei 杠
geiu 梗
geu 尴
gf 搞
gfa 掼
gfaa 罆 摜
gfae 摡
gfe 挂
gfee 搆 摫 扞 扜
gfei 拱 罐 缸 擀 扛 挭 颪 摃 擖 掛
gfi 拐
gfia 掴 掆 罁 抇 掍 擱 摑
gfo 搁
gfoo 揯 搄 搅
gfu 括
gfua 挌 抅
gfue 扢 颳 捁 旝
gfui 攪
gg 官
gga 功
ggae 庚 赓
ggao 広
ggau 戤
gge 冠
ggee 鞲 骭
ggei 庋 鞴 彁 戨 鞷 骾 庪 彉 鞏 廣
ggeu 寡 家
ggi 宫
ggia 贡 汞 鞼 宮 貢
ggo 彍
ggou 魐
ggu 攻
ggua 巩 骼 鹘 宄
ggui 廆 鶻
gguo 魀 廥
gh 工
gha 戈
ghae 炔
ghe 秆
ghee 煹
ghei 藳 熕 冓 爟 炗 烡
ghi 更
ghia 亘 鬲 焵 焸 稒 煱 煰 稈 亙
ghie 丐 臩 臦
ghii 革
gho 稿
ghoe 稾 焿 穬
ghou 夹
ghu 雇
ghua 尶 灮
ghui 炛
ghuo 夾
gi 国
gia 哽
giaa 骼
giae 噶
giai 帼
gj 改
gja 钆
gjaa 鏆 釓
gjau 糼
gje 规
gjea 鈛
gjee 觏 覯 規
gjei 钙 钴 绀 镉 绠 红 錷 釭 絚 幊 觵 絓 鑵 鑉 銾 絙 銈 鈣 紺 鎘 綆 鈷 觀 紅
gjeu 絠
gji 钢
gjia 锅 纲 帼 锢 绲 鎅 鎠 縎 緺 綶 鐹 锞 綱 鋼 錮 緄 鍋 幗 錁
gjio 觥 銧
gjo 镐
gjoa 緷
gjoe 缟 絯 縞 鎬
gjoo 緪 縆 錧
gjou 凲 帰
gju 钩
gjua 铬 觡 鈎 銽 觤 錎 鉻 鉤
gjue 锆 纥 観 鋯 紇
gjui 缑 緱 歸
gjuo 纶 給 綸
gjuu 觚 鈲
gk 哥
gka 咖
gkae 哏 囻
gkau 呄 叧
gke 固
gkea 匦 臵
gkee 囯
gkei 咕 哽 噶 嗝 鼛 戓 唝 耇 耉 耈 啩 咁 匭 國 嗊
gkeu 嘎 嘠
gki 呷
gkia 呙 啯 嘓 嗗
gkie 凸
gkio 咣
gko 唦
gkou 岡
gku 谷
gkua 咯 唃
gkui 嗰
gkuo 冈 唂 囶 圀 吤
gkuu 呱
gl 刚
gla 怪
glaa 惯 遦 慣
glae 忋
glao 劀
gle 耕
glee 遘 忓 迀 龏 耩 迋 龔
glei 龚 愅 刯 愩 攰
gleu 恠
gli 赣
glia 剐 刿 哿 贑 愲 慖 惈 贛 剛 剮 過
glie 劌
glo 割
gloo 悺
glu 逛
glue 适
gluo 刽 逧 劊
gluu 逅
gm 根
gma 概
gmaa 樌 關
gmae 橄 槩 杛
gme 桂
gmea 柜
gmee 杆 盰 椝 槻 槼 瞡 構
gmei 闺 杠 梗 柑 瞽 粓 檊 槓 櫜 槅 栱 橭 盬 矔 欟 粳 閨 櫃
gmi 贯
gmia 棍 桿 棡 櫊 騔 榾 棝 騧 枴 柺 椢 瞆 槶 瞶 楇 粿 貫
gmio 桄
gmo 棺
gmoa 睴
gmoe 槁 椁 槀 檺 椩 矌 槨
gmou 糕 関
gmu 格
gmua 构 阁 枸 朹 閣
gmue 梏 栝 杚 麧
gmui 盥 槔 槪 槹 橰 櫷
gmuo 桧 閤 睔 檜
gmuu 柧
gn 告
gna 鴂
gnae 鴃
gnau 鴐
gne 姑
gnea 牫
gnee 媾 祴 鳱 衦 裓 褠 嫢
gnei 褂 鸪 牯 鹳 牱 鴚 嫴 袿 鴣 鸛
gni 姯
gnia 犅 吿 祻 祼 鸜
gno 妫
gnoe 姟 牨 禞 鹒 鶊
gnou 媯
gnu 鸽
gnua 袼 袧 姽 祪 鴼
gnue 鹄 牿 祰 鵠
gnui 鷎 鷱
gnuo 嬀 禬 襘 鴿
gnuu 姤
go 高
goa 褂
goe 膏
goi 阁
goo 惯
gou 盖
gp 管
gpa 簋
gpai 箛
gpe 乖
gpee 竿 篝 皯
gpei 箍 筻 笴 簳 篢 簼 篐 皷 筀 皼
gpi 鬼
gpia 睾 筸 箇 簂 龜
gpo 篙
gpoe 笐
gpoo 筦
gpu 瓜
gpua 笱
gpue 筶 筈
gpuu 笟
gq 果
gqa 猤
gqe 歌
gqee 旰 昋
gqei 杲 獦 鼔 褁 狜
gqi 猓
gqia 歄 猲
gqo 犷
gqoe 晐 暠 獷
gqoo 暅
gqou 炅 炚
gqu 狗
gqua 旮 晷 暩
gque 犵
gquo 敆
gr 供
gra 伽
gre 估
gree 舘 傋
grei 合 倝 僙 價
gri 侊
gria 傦 個
gro 倌
groa 僱
groe 侅
gru 佝
grua 俇 佹
grue 仡
grui 傀
gruo 佮 价
gs 古
gsa 骨
gsaa 乢 冎 咼
gsae 躬
gse 硅
gsee 矸
gsei 彀 毂 豰 矼 峺 碽 拲 撀 榖 糓 卝 礶 瞉 轂 穀
gseu 厷 嵅 嶡
gsi 岗
gsia 辜 崮 嘏 亁 榦 躳 馉 崓 泴 馃 碙 乾 幹 崗 餶 餜
gsie 峠
gsii 刮
gsio 硄
gso 馆
gsoe 磙 崞 峐 豥 矿 礦
gsoo 館
gsou 餻
gsu 鸹
gsua 岣 硌 饹 硊 餎
gsue 屹 峼
gsui 巂 鴰
gsuo 搿 硲
gt 鼓
gta 叝
gte 圭
gtee 畊
gtei 埂 坩 塥 塨 郌
gti 埚
gtia 堈 堽 堌 堝
gtio 垙
gto 垓
gtoe 畡 墎 埻
gtoo 堩
gtu 垢
gtua 埄 坸 垝
gtue 圪
gtuu 坬
gu 公
gua 肝
gue 罐
guee 缸
gui 躬
guo 刽
gv 干
gve 隔
gvee 肝
gvei 肛 鲑 鲠 膈 臌 郠 羾 鮕 鱹 邽 胿 聝 鲄 鯁 鮭 魺
gveu 肱 鳜 鳡 鰔 鱤 鱖
gvi 鳏
gvia 鲴 隑 脵 鱞 膭 腘 腂 脶 膼 鯝 鰥 膕 腡
gvie 鱥
gvio 胱
gvo 郭
gvoe 陔 郂 阬 鮌 胲 魧
gvoo 脘
gvou 耿
gvu 股
gvua 胳 鲧 陒 鯀
gvue 郜 肐 鳤
gvui 聒
gvuo 鮯 鬶 鬹 郃
gvuu 胍
gw 各
gwa 敢
gwe 故
gwee 攼 玕 韝
gwei 珙 瓂 韚 瓘 珪
gwi 裹
gwia 膏 稁 璝
gwii 髙
gwio 珖
gwo 瓌
gwoa 璭
gwoo 琯
gwu 瑰
gwua 袌 敋 玽
gwue 玍
gwui 韟
gwuo 衮 韐 豃 袞
gx 光
gxa 尕
gxe 感
gxei 恭 慐 怘 窐
gxeu 尜
gxi 归
gxia 贾 窤 賈
gxo 戆
gxoe 戅 戇
gxoo 悹
gxu 蠽
gxua 夠
gxuo 懖
gy 该
gya 颈
gyaa 謴
gyae 叏
gyao 頚
gyau 夃
gye 顾
gyea 頸
gyee 酐
gyei 诂 酤 诖 詌 謌 諽 尷 詁 詿
gyeu 頋 諴
gyi 观
gyia 盖 尳 覌
gyii 尴
gyo 羹
gyoa 顧
gyoe 該
gyoo 羔 羮
gyou 尲
gyu 诡
gyua 訽 羖 詭
gyue 诰 誥
gyuo 尬 颌 頜
gyuu 诟 詬
gz 跟
gza 毌
gzaa 躀
gzae 赽
gze 赶
gzea 弓
gzee 艮
gzei 罡 舸 虢 罟 舡 睪 罣 罫 牁 乹
gzi 趕
gzo 矜
gzoa 矝
gzoe 臯
gzu 孤
gzua 跪 豿 雊
gzue 趏
gzui 丱
gzuu 罛
h 和
ha 好
haa 骅
hae 弧
hai 函
hb 黄
hba 贺
hbae 痕
hbau 賀
hbe 皇
hbee 鼾 皩 皝
hbei 癀 癋 鬍 黃
hbeo 皬 癨
hbeu 贿 靧 賄
hbi 鬟
hbia 皔 齃 痐 癯
hbo 訇
hboe 貥 皜
hboo 皖
hbou 灳
hbu 货
hbua 痪 齁 瘓
hbue 皓
hbui 瘊 皞 皡 皥 瘣 黌 貨
hbuo 谽 谾 谹 谼
hc 很
hca 轰
hcaa 後 荭 藧 葒
hcae 苰 虇 蔒 蝦
hcai 郝 菡 蜬 芔
hcao 恵
hcau 薅
hce 行
hcee 厈 蔧 華
hcei 赫 虹 蝴 葫 蕙 荤 蠖 蚶 蟥 蕻 蟪 虾 螒 蚵 衚 螜 芐 蘳 蘾 荁 轋 蒚 蠸 蓋 轟
hceo 藿
hceu 虺 蠚 蕐 蚘 蛕
hci 厚
hcia 徽 徊 茴 蛔 薨 辊 螖 萈 轘 幑 蜖 軦 蝎 輥
hcie 萀 薉
hco 荒
hcoa 蔰 葷
hcoe 蒿 苀 蚢 軣 藱 藃 蠔
hcoo 菏 薃 螛 葓 蘹 輐 萿
hcou 蔊
hcu 花
hcua 获 衡 蜭 輷 蔛
hcue 蚝 萂 龁 齕
hcui 荷 蝗 徨 萑 茠 鵆 葔 蘤 雈 葟 螝
hcuo 蛤 荟 莟 蛿 苸 轷 芲 軤 薈
hcuu 蘅
hd 活
hda 汉
hdae 户 泓 鬫 澅
hdai 涵
hdao 瀈
hdau 夯
hde 湖
hdea 汇 冱 冴 沍
hdee 汗 綔 湱
hdei 河 洪 鸿 瀚 潢 洹 滆 渮 澕 澒 瀫 澣 泋 潓 濩 漢 鴻 鬨
hdeo 瀖
hdeu 汯 矦 洃 湏 滙 奤
hdi 混
hdia 滑 灏 涸 奂 溷 洄 漶 溃 澏 涆 淏 潶 渱 潂 澋 澴 奛 滉 夻 殨 灝 奐 潰
hdie 滹 淲 奯 濊
hdio 洸
hdo 浑
hdoa 沪 浒 浫 滬 渾
hdoe 濠 沆 滈 涥 瀤 漷 滸
hdoo 浣 浤
hdu 海
hdua 涣 淊 渹 淴 涽 殙 渙
hdue 浩 汻
hdui 淮 湟 澔 沎
hduo 浍 浛 泘 澮
hduu 火 洉
he 还
hee 璜
heee 彗
hei 杭
heia 酣
heii 葫
hf 护
hfa 撖
hfae 拫
hfe 撼
hfee 扞
hfei 撗 抲 撶 捇 掝 擭
hfeo 攉
hfeu 摦 拻
hfi 捍
hfia 擐 撔 抇 搰 攌
hfie 摢
hfo 挥
hfoa 揮
hfoo 捖 搳
hfu 换
hfua 揈 換
hfue 斻
hfui 揘
hfuo 撝
hfuu 缿
hg 害
hga 弘
hgae 鞎 宖 鞃
hgai 寣
hgao 戣
hge 寒
hgea 瓨
hgee 魂 豁 弖
hgei 宦 廅 韄 寭 瓡
hgeu 宏 瓠
hgi 划
hgia 寰 汞 鞨 彋 宺
hgie 戯 戱 戲
hgo 骸
hgu 罕
hgua 鹘 寏
hgui 隺 寉 廆 鶻
hguu 弧 骺
hh 或
hha 互
hhai 邩
hhao 秮
hhe 灰
hhei 烘 煳 熯 熆 焃 煂 爀 灴 熿 穔 穫
hheu 烣 烠 烼
hhi 画
hhia 秽 扈 焊 馠 盉 帍 炾 熀
hhie 穢
hho 戽
hhoa 熩 煇
hhoe 熇 燺
hhoo 焢
hhou 烪
hhu 虎
hhua 焕 甝 虝 烉 焝 煥
hhue 烸 秏 秳
hhui 煌 雐 鳸 燬 孬
hhuo 烩 焓 烀 秴 龢 虖 焀 燴
hhuu 厂 烆
hi 回
hia 虹
hiae 哄
hio 辉
hj 红
hja 釛
hjae 紭 繣
hje 镬
hjee 釬 釫
hjei 巷 鑉 鉷 鍸 錵 觟 鐄 鏸 觨 繐 紅 鏵 鑊
hjeu 纮 鈜 紘
hji 幌
hjia 缳 缋 触 銲 絗 鋘 镮 縨 鎤 繉 鉮 繯 鐶 繢
hjie 錿 鐬
hjo 斛
hjoe 镐 絯 鎬
hjoo 鋎 綋 鋐 鍙 綄
hjou 钬 鑅 鈥
hju 缓
hjua 锪 鍧 鍃
hjue 纥 鉌 幠 紇
hjui 凰 铧 帿 鍭 锽 觷 鍠
hjuo 绘 锾 铪 鋡 絵 鉿 鍰 緩 繪
hjuu 绗 銗 乕 絎
hk 后
hka 吼
hkaa 喙
hkae 啒 囘
hkai 函 凾
hkao 咍
hke 号
hkea 號
hkee 嘒 嚖
hkei 呵 哄 嗬 吓 嚆 唝 嚡 啈 叿 喖 嚾 嚄 嚿 嗑 嚂 嗊 嘩 嚇
hkeo 嚯
hkeu 喊 咴 吰 圂 咟
hki 喝
hkia 嘿 圜 哕 哻 圚 呺
hkie 唬 嘑 噦
hkii 囬
hko 哼
hkoe 嚎 吭 咳 嗃 嚝 噷
hkoo 嗨 嗐 匯
hkou 吙
hku 哈
hkua 唤 唿 囫 匢 匫 嘝 哅 喚
hkue 哠 咊 啝 吽 咶
hkui 喉 哗 嗥 噑 嘷 哬 嚛 喤
hkuo 呼 唅 喛 噕 噅
hl 怀
hla 恨
hlae 惽 焄 劃
hle 慌
hlee 懳 忶 剨
hlei 恒 怙 劐 恆 懽 憓 耯
hleu 恢 憾 竑
hli 恍
hlia 悍 懁 怳 愰 廻 廽 恛 迴 逥 愒 還
hlo 劾
hloe 迒 悙 懐 耲 懷
hloo 逭 黒 竤
hlu 悔
hlua 惚 愌 惛 愡
hlue 耗 勂 竓 悎
